id,from_id,to_id,type,description,product_id,confidence,status,value,unit,value_type,period,valid_from,valid_to,source_ids,note
rel_0148,TWSE_3443,ic_design,BELONGS_TO,創意屬於 IC 設計（ASIC）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0149,TWSE_5269,ic_design,BELONGS_TO,祥碩屬於 IC 設計產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0150,TPEX_8299,ic_design,BELONGS_TO,群聯屬於 IC 設計（快閃記憶體控制）產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0151,TPEX_3529,ic_design,BELONGS_TO,力旺屬於矽智財（IP）產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0152,TPEX_5274,ic_design,BELONGS_TO,信驊屬於 IC 設計（BMC）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0153,TWSE_6239,osat,BELONGS_TO,力成屬於封裝測試產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0154,TWSE_2449,osat,BELONGS_TO,京元電子屬於封裝測試產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0155,TWSE_3532,semiconductor,BELONGS_TO,台勝科屬於半導體（矽晶圓）產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0156,TWSE_6415,ic_design,BELONGS_TO,矽力-KY 屬於 IC 設計（電源管理）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0157,TWSE_2409,display_panel,BELONGS_TO,友達屬於面板產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0158,TWSE_3481,display_panel,BELONGS_TO,群創屬於面板產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0159,TWSE_3008,optics,BELONGS_TO,大立光屬於光學產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0160,TWSE_2357,consumer_brand,BELONGS_TO,華碩屬於品牌廠產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0161,TWSE_4938,ems,BELONGS_TO,和碩屬於 EMS 產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0162,TWSE_2324,ems,BELONGS_TO,仁寶屬於 EMS / ODM 產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0163,TWSE_2353,consumer_brand,BELONGS_TO,宏碁屬於品牌廠產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0164,TWSE_2377,consumer_brand,BELONGS_TO,微星屬於品牌廠（板卡）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0165,TWSE_2376,consumer_brand,BELONGS_TO,技嘉屬於品牌廠（板卡）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0166,TWSE_6669,server_odm,BELONGS_TO,緯穎屬於伺服器 ODM 產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0167,TWSE_2395,consumer_brand,BELONGS_TO,研華屬於工業電腦品牌產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0168,TWSE_2345,network_equipment,BELONGS_TO,智邦屬於網通設備產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0169,TWSE_2301,power_supply_industry,BELONGS_TO,光寶科屬於電源供應產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0170,TWSE_2327,passive_component,BELONGS_TO,國巨屬於被動元件產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0171,TWSE_2354,ems,BELONGS_TO,鴻準屬於機構件 / EMS 產業,,0.8,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0172,TWSE_2360,semiconductor_equipment,BELONGS_TO,致茂屬於量測設備產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0173,TWSE_3037,pcb_industry,BELONGS_TO,欣興屬於 PCB / 載板產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0174,TWSE_8046,pcb_industry,BELONGS_TO,南電屬於 PCB / 載板產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0175,TWSE_2383,pcb_industry,BELONGS_TO,台光電屬於 CCL / PCB 材料產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0176,TPEX_6274,pcb_industry,BELONGS_TO,台燿屬於 CCL / PCB 材料產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0177,TWSE_3533,connector_industry,BELONGS_TO,嘉澤屬於連接器產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0178,TWSE_3653,thermal_industry,BELONGS_TO,健策屬於散熱產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0179,TWSE_1590,industrial_equipment,BELONGS_TO,亞德客-KY 屬於工業設備（氣動元件）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0180,TWSE_2049,industrial_equipment,BELONGS_TO,上銀屬於工業設備（傳動）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0181,TWSE_2059,industrial_equipment,BELONGS_TO,川湖屬於工業設備（滑軌）產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0182,TWSE_1519,industrial_equipment,BELONGS_TO,華城屬於重電產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0183,TWSE_1513,industrial_equipment,BELONGS_TO,中興電屬於重電產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0184,TWSE_1504,industrial_equipment,BELONGS_TO,東元屬於機電產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0185,TWSE_1605,industrial_equipment,BELONGS_TO,華新屬於電線電纜產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0186,TWSE_1301,petrochemical,BELONGS_TO,台塑屬於塑化產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0187,TWSE_1303,petrochemical,BELONGS_TO,南亞屬於塑化產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0188,TWSE_1326,petrochemical,BELONGS_TO,台化屬於塑化產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0189,TWSE_6505,petrochemical,BELONGS_TO,台塑化屬於塑化（煉油）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0190,TWSE_2002,steel,BELONGS_TO,中鋼屬於鋼鐵產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0191,TWSE_1101,cement,BELONGS_TO,台泥屬於水泥產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0192,TWSE_1216,food_beverage,BELONGS_TO,統一屬於食品飲料產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0193,TWSE_2912,retail_ecommerce,BELONGS_TO,統一超屬於零售產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0194,TWSE_8454,retail_ecommerce,BELONGS_TO,富邦媒屬於電商產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0195,TWSE_1402,textile_footwear,BELONGS_TO,遠東新屬於紡織產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0196,TWSE_1476,textile_footwear,BELONGS_TO,儒鴻屬於紡織（機能布）產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0197,TWSE_9904,textile_footwear,BELONGS_TO,寶成屬於製鞋產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0198,TWSE_9910,textile_footwear,BELONGS_TO,豐泰屬於製鞋產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0199,TWSE_2603,shipping,BELONGS_TO,長榮屬於貨櫃航運產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0200,TWSE_2609,shipping,BELONGS_TO,陽明屬於貨櫃航運產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0201,TWSE_2615,shipping,BELONGS_TO,萬海屬於貨櫃航運產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0202,TWSE_2618,airline,BELONGS_TO,長榮航屬於航空產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0203,TWSE_2610,airline,BELONGS_TO,華航屬於航空產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0204,TWSE_2207,automotive,BELONGS_TO,和泰車屬於汽車產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0205,TWSE_2201,automotive,BELONGS_TO,裕隆屬於汽車產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0206,TWSE_2105,automotive,BELONGS_TO,正新屬於汽車（輪胎）產業,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0207,TWSE_9921,bicycle,BELONGS_TO,巨大屬於自行車產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0208,TWSE_9914,bicycle,BELONGS_TO,美利達屬於自行車產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0209,TWSE_2634,aerospace_defense,BELONGS_TO,漢翔屬於航太產業,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0210,TWSE_2881,financial_service,PRODUCES,富邦金提供銀行保險證券等金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0211,TWSE_2881,insurance_service,PRODUCES,富邦金旗下富邦人壽提供保險服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0212,TWSE_2882,financial_service,PRODUCES,國泰金提供金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0213,TWSE_2882,insurance_service,PRODUCES,國泰金旗下國泰人壽提供保險服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0214,TWSE_2891,financial_service,PRODUCES,中信金提供銀行金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0215,TWSE_2886,financial_service,PRODUCES,兆豐金提供銀行金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0216,TWSE_2884,financial_service,PRODUCES,玉山金提供銀行金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0217,TWSE_2885,securities_service,PRODUCES,元大金以證券業務為核心,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0218,TWSE_2892,financial_service,PRODUCES,第一金提供銀行金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0219,TWSE_5880,financial_service,PRODUCES,合庫金提供銀行金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0220,TWSE_2880,financial_service,PRODUCES,華南金提供銀行金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0221,TWSE_2890,financial_service,PRODUCES,永豐金提供銀行金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0222,TWSE_2887,financial_service,PRODUCES,台新金提供銀行金融服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0223,TWSE_2883,securities_service,PRODUCES,凱基金以證券與銀行業務為主,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0224,TWSE_5871,leasing_service,PRODUCES,中租-KY 提供租賃融資服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0225,TWSE_2412,telecom_service,PRODUCES,中華電提供電信服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0226,TWSE_3045,telecom_service,PRODUCES,台灣大提供電信服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0227,TWSE_4904,telecom_service,PRODUCES,遠傳提供電信服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0228,TWSE_2303,wafer_foundry_service,PRODUCES,聯電提供成熟製程晶圓代工服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0229,TWSE_3661,asic_design_service,PRODUCES,世芯-KY 提供 ASIC 設計服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0230,TWSE_3443,asic_design_service,PRODUCES,創意提供 ASIC 設計服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0231,TWSE_5269,usb_interface_ic,PRODUCES,祥碩設計高速傳輸介面 IC,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0232,TPEX_8299,nand_controller,PRODUCES,群聯設計 NAND 控制晶片,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0233,TPEX_3529,silicon_ip,PRODUCES,力旺提供 eNVM 矽智財,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0234,TPEX_5274,bmc_chip,PRODUCES,信驊設計伺服器 BMC 晶片,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0235,TWSE_6239,osat_service,PRODUCES,力成提供記憶體封測服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0236,TWSE_2449,osat_service,PRODUCES,京元電子提供晶圓測試服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0237,TWSE_3532,silicon_wafer,PRODUCES,台勝科生產矽晶圓,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0238,TWSE_6415,power_management_ic,PRODUCES,矽力-KY 設計電源管理 IC,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0239,TWSE_2409,panel,PRODUCES,友達生產顯示面板,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0240,TWSE_3481,panel,PRODUCES,群創生產顯示面板,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0241,TWSE_3008,camera_lens,PRODUCES,大立光生產光學鏡頭,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0242,TWSE_2357,notebook_pc,SELLS,華碩銷售自有品牌 PC 與筆電,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0243,TWSE_2357,motherboard_gpu_card,SELLS,華碩銷售主機板與顯示卡,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0244,TWSE_4938,notebook_pc,ASSEMBLES,和碩代工組裝筆電與消費電子,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0245,TWSE_2324,notebook_pc,ASSEMBLES,仁寶代工組裝筆電,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0246,TWSE_2353,notebook_pc,SELLS,宏碁銷售自有品牌 PC 與筆電,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0247,TWSE_2377,motherboard_gpu_card,SELLS,微星銷售主機板顯示卡與電競 PC,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0248,TWSE_2376,motherboard_gpu_card,SELLS,技嘉銷售主機板顯示卡與伺服器,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0249,TWSE_6669,ai_server,PRODUCES,緯穎生產雲端資料中心伺服器,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0250,TWSE_2395,industrial_pc,PRODUCES,研華生產工業電腦,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0251,TWSE_2345,networking_switch,PRODUCES,智邦生產資料中心交換器,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0252,TWSE_2301,server_power_supply,PRODUCES,光寶科生產電源供應器,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0253,TWSE_2327,passive_component_product,PRODUCES,國巨生產 MLCC 與電阻等被動元件,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0254,TWSE_2354,smartphone,ASSEMBLES,鴻準生產機構件並參與組裝,,0.7,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0255,TWSE_2360,test_equipment,PRODUCES,致茂生產量測與自動化測試設備,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0256,TWSE_3037,abf_substrate,PRODUCES,欣興生產 ABF 載板與 PCB,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0257,TWSE_8046,abf_substrate,PRODUCES,南電生產 ABF 載板,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0258,TWSE_2383,copper_clad_laminate,PRODUCES,台光電生產高階銅箔基板,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0259,TPEX_6274,copper_clad_laminate,PRODUCES,台燿生產高頻高速銅箔基板,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0260,TWSE_3533,connector,PRODUCES,嘉澤生產 CPU socket 與連接器,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0261,TWSE_3653,vapor_chamber,PRODUCES,健策生產均熱片與散熱模組,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0262,TWSE_1590,pneumatic_component,PRODUCES,亞德客-KY 生產氣動元件,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0263,TWSE_2049,linear_guideway,PRODUCES,上銀生產線性滑軌與滾珠螺桿,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0264,TWSE_2059,server_rail_kit,PRODUCES,川湖生產伺服器導軌,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0265,TWSE_1519,heavy_electric_equipment,PRODUCES,華城生產變壓器等重電設備,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0266,TWSE_1513,heavy_electric_equipment,PRODUCES,中興電生產重電與 GIS 設備,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0267,TWSE_1504,heavy_electric_equipment,PRODUCES,東元生產馬達與機電設備,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0268,TWSE_1605,wire_cable,PRODUCES,華新生產電線電纜,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0269,TWSE_1301,petrochemical_product,PRODUCES,台塑生產 PVC 等塑化產品,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0270,TWSE_1303,petrochemical_product,PRODUCES,南亞生產塑膠加工與電子材料,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0271,TWSE_1326,petrochemical_product,PRODUCES,台化生產芳香烴與塑化產品,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0272,TWSE_6505,refined_petroleum,PRODUCES,台塑化生產汽柴油等煉油產品,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0273,TWSE_2002,steel_product,PRODUCES,中鋼生產鋼板鋼捲等鋼鐵產品,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0274,TWSE_1101,cement_product,PRODUCES,台泥生產水泥,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0275,TWSE_1216,food_beverage_product,PRODUCES,統一生產食品飲料,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0276,TWSE_2912,retail_service,PRODUCES,統一超經營便利商店零售,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0277,TWSE_8454,ecommerce_service,PRODUCES,富邦媒經營 momo 電商平台,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0278,TWSE_1402,functional_fabric,PRODUCES,遠東新生產聚酯纖維與紡織品,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0279,TWSE_1476,functional_fabric,PRODUCES,儒鴻生產機能性針織布與成衣,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0280,TWSE_9904,footwear_manufacturing_service,PRODUCES,寶成為全球最大運動鞋代工廠,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0281,TWSE_9910,footwear_manufacturing_service,PRODUCES,豐泰為 Nike 主要製鞋代工廠,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0282,TWSE_2603,container_shipping_service,PRODUCES,長榮提供貨櫃航運服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0283,TWSE_2609,container_shipping_service,PRODUCES,陽明提供貨櫃航運服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0284,TWSE_2615,container_shipping_service,PRODUCES,萬海提供近洋貨櫃航運服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0285,TWSE_2618,air_transport_service,PRODUCES,長榮航提供客貨航空運輸服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0286,TWSE_2610,air_transport_service,PRODUCES,華航提供客貨航空運輸服務,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0287,TWSE_2207,automobile,DISTRIBUTES,和泰車為 Toyota 台灣總代理,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0288,TWSE_2201,automobile,PRODUCES,裕隆生產與代工汽車,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0289,TWSE_2105,tire,PRODUCES,正新生產輪胎（瑪吉斯）,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0290,TWSE_9921,bicycle_product,PRODUCES,巨大生產捷安特自行車,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0291,TWSE_9914,bicycle_product,PRODUCES,美利達生產自行車,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0292,TWSE_2634,aerospace_component,PRODUCES,漢翔生產航太結構件與軍機,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0293,silicon_wafer,wafer_foundry_service,INPUT_OF,矽晶圓是晶圓代工的關鍵原材料,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0294,copper_clad_laminate,server_pcb,INPUT_OF,銅箔基板是 PCB 的關鍵材料,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0295,abf_substrate,ai_gpu,COMPONENT_OF,ABF 載板是高階晶片封裝關鍵組件,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0296,petrochemical_product,functional_fabric,INPUT_OF,聚酯等塑化產品是機能布料原料,,0.8,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0297,steel_product,automobile,INPUT_OF,鋼材是汽車製造原料,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0298,steel_product,heavy_electric_equipment,INPUT_OF,鋼材是重電設備原料,,0.75,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0299,wire_cable,heavy_electric_equipment,COMPONENT_OF,電線電纜用於重電與輸配電設備,,0.75,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0300,connector,ai_server,COMPONENT_OF,CPU socket 與高速連接器用於伺服器,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0301,vapor_chamber,ai_server,COMPONENT_OF,均熱片用於伺服器晶片散熱,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0302,server_rail_kit,ai_server,COMPONENT_OF,伺服器導軌用於機架伺服器,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0303,bmc_chip,ai_server,COMPONENT_OF,BMC 晶片是伺服器遠端管理核心,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0304,networking_switch,ai_datacenter,USED_IN,交換器用於資料中心網路,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0305,power_management_ic,ai_server,COMPONENT_OF,電源管理 IC 用於伺服器供電,,0.8,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0306,usb_interface_ic,notebook_pc,COMPONENT_OF,高速介面 IC 用於 PC 平台,,0.8,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0307,nand_controller,notebook_pc,COMPONENT_OF,NAND 控制晶片用於 SSD 與 PC,,0.75,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0308,panel,notebook_pc,COMPONENT_OF,面板是筆電關鍵組件,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0309,camera_lens,smartphone,COMPONENT_OF,光學鏡頭是智慧型手機關鍵組件,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0310,passive_component_product,ai_server,COMPONENT_OF,MLCC 等被動元件用於伺服器主板,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0311,passive_component_product,smartphone,COMPONENT_OF,被動元件用於智慧型手機,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0312,silicon_ip,smartphone_soc,COMPONENT_OF,矽智財授權用於晶片設計,,0.75,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0313,asic_design_service,ai_gpu,INPUT_OF,ASIC 設計服務支援自研 AI 晶片開發,,0.7,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0314,financial_service,financial_market,USED_IN,金融服務用於金融市場,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0315,insurance_service,financial_market,USED_IN,保險服務用於金融市場,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0316,securities_service,financial_market,USED_IN,證券服務用於金融市場,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0317,leasing_service,financial_market,USED_IN,租賃融資服務用於金融市場,,0.8,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0318,telecom_service,general_consumer,USED_IN,電信服務用於一般消費市場,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0319,telecom_service,cloud_computing,ENABLES,電信網路是雲端服務基礎設施,,0.75,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0320,container_shipping_service,global_trade,USED_IN,貨櫃航運服務用於全球貿易,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0321,air_transport_service,global_trade,USED_IN,航空運輸用於全球貿易與旅運,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0322,cement_product,construction,USED_IN,水泥用於營建工程,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0323,steel_product,construction,USED_IN,鋼材用於營建工程,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0324,refined_petroleum,global_trade,USED_IN,汽柴油燃料用於運輸與貿易活動,,0.75,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0325,food_beverage_product,general_consumer,USED_IN,食品飲料用於一般消費市場,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0326,retail_service,general_consumer,USED_IN,零售通路服務一般消費市場,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0327,ecommerce_service,general_consumer,USED_IN,電商平台服務一般消費市場,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0328,functional_fabric,general_consumer,USED_IN,機能布料用於運動服飾消費市場,,0.8,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0329,footwear_manufacturing_service,general_consumer,USED_IN,運動鞋代工服務全球品牌消費市場,,0.8,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0330,automobile,automotive_market,USED_IN,汽車銷售於汽車市場,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0331,tire,automotive_market,USED_IN,輪胎用於汽車市場,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0332,bicycle_product,general_consumer,USED_IN,自行車銷售於消費市場,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0333,heavy_electric_equipment,green_energy,USED_IN,重電設備用於電網與綠能建設,,0.85,verified,,,unknown,2026,,,source_manual_seed_v2,
rel_0334,pneumatic_component,industrial_automation,USED_IN,氣動元件用於工業自動化,,0.9,verified,,,unknown,2026,,,source_manual_seed_v2,
